symbol,beta
AAPL,1.16
NFLX,1.59
MSFT,1.05
NVDA,2.14
AMZN,1.31
GOOG,1.01
META,1.27
AVGO,1.17
TSLA,2.33
BRK-B,0.80
WMT,0.66
JPM,1.11
V,0.94
LLY,0.44
MA,1.03
COST,0.95
ORCL,1.43
XOM,0.50
PG,0.37
JNJ,0.40
HD,1.00
BAC,1.32
ABBV,0.50
PLTR,2.60
KO,0.44
PM,0.51
UNH,0.44
TMUS,0.61
GE,1.45
CSCO,0.91
CRM,1.37
IBM,0.68
WFC,1.20
CVX,0.84
ABT,0.70
MCD,0.52
INTU,1.29
NOW,0.93
AXP,1.28
MS,1.32
DIS,1.57
T,0.62
ISRG,1.60
MRK,0.39
VZ,0.36
AMD,1.94
GS,1.37
RTX,0.67
PEP,0.46
UBER,1.43
ADBE,1.52
PGR,0.33
BX,1.70
TXN,1.02
CAT,1.40
QCOM,1.23
SCHW,0.95
BA,1.48
SPGI,1.19
AMGN,0.48
BSX,0.66
BLK,1.43
TMO,0.75
SYK,0.91
HON,1.07
NEE,0.62
TJX,0.89
C,1.37
GLD,0.42
SLV,0.92
XLE,0.72
TLT,2.23
SPY,1.00
QQQ,1.12
ARKK,2.14
COIN,3.71
HOOD,2.37
GBTC,0.00
MSTR,3.78
MARA,6.26
SMCI,1.46
SOUN,2.77
DKNG,1.70
OXY,0.91
TTD,1.37